,2024,2025,2026,2027,2028,Total
Lease,$1.6M,$1.4M,$1.4M,$1.4M,$1.4M,$7.3M
Sale,$0,$0,$0,$0,$16.2M,$16.2M
  Revenue Subtotal,$1.6M,$1.4M,$1.4M,$1.4M,$17.6M,$23.5M
OpEx,"$-337,108","$-339,751","$-347,887","$-356,282","$-364,943",$-1.7M
Closing Costs,"$-300,000",$0,$0,$0,$0,"$-300,000"
Purchase Price,$-12.0M,$0,$0,$0,$0,$-12.0M
Transaction Costs,$0,$0,$0,$0,"$-484,721","$-484,721"
  Capital Subtotal,$-12.3M,$0,$0,$0,"$-484,721",$-12.8M
Equity Contribution,$3.3M,"$126,000","$126,000","$126,000","$126,000",$3.8M
Equity Distribution,$-1.8M,$-1.7M,$-1.7M,$-1.7M,$-9.9M,$-16.8M
Interest Payment,"$-437,019","$-428,036","$-418,570","$-408,595","$-398,084",$-2.1M
Loan Proceeds,$8.4M,$0,$0,$0,$0,$8.4M
Prepayment,$0,$0,$0,$0,$-7.5M,$-7.5M
Principal Payment,"$-167,023","$-176,005","$-185,471","$-195,446","$-205,958","$-929,904"
  Financing Subtotal,$9.3M,$-2.2M,$-2.2M,$-2.2M,$-17.8M,$-15.1M
Asset Valuation,$228.5M,$204.2M,$204.6M,$203.1M,$217.7M,$1058.1M
